0.276,0.276,0.082,0.048
0.285,0.285,0.076,0.057
0.303,0.303,0.081,0.066
0.333,0.333,0.086,0.074
0.351,0.351,0.082,0.073
0.367,0.367,0.085,0.076
0.398,0.398,0.121,0.106
0.415,0.415,0.17,0.141
0.42,0.42,0.207,0.179
0.45,0.45,0.243,0.21
0.556,0.556,0.273,0.236
0.671,0.671,0.366,0.315
0.75,0.75,0.417,0.344
0.773,0.773,0.404,0.336
0.795,0.795,0.388,0.32
0.812,0.812,0.362,0.36
0.843,0.843,0.334,0.317
0.811,0.811,0.294,0.286
0.766,0.766,0.282,0.283
0.73,0.73,0.256,0.274
0.711,0.711,0.254,0.264
0.668,0.668,0.264,0.267
0.64,0.64,0.272,0.274
0.632,0.632,0.289,0.265
0.633,0.633,0.299,0.252
0.645,0.645,0.315,0.265
0.653,0.653,0.323,0.27
0.651,0.651,0.292,0.241
0.627,0.627,0.245,0.174
0.613,0.613,0.241,0.153
0.623,0.623,0.243,0.174
0.651,0.651,0.266,0.157
0.695,0.695,0.251,0.131
0.682,0.682,0.238,0.12
0.633,0.633,0.213,0.154
0.579,0.579,0.218,0.203
0.56,0.56,0.264,0.256
0.578,0.578,0.321,0.301
0.593,0.593,0.364,0.34
0.599,0.599,0.381,0.337
0.616,0.616,0.382,0.305
0.629,0.629,0.355,0.264
0.602,0.602,0.319,0.218
0.575,0.575,0.297,0.172
0.557,0.557,0.274,0.149
0.563,0.563,0.244,0.154
0.609,0.609,0.256,0.167
0.684,0.684,0.28,0.171
0.751,0.751,0.297,0.189
0.819,0.819,0.337,0.22
0.87,0.87,0.361,0.254
0.896,0.896,0.43,0.318
0.888,0.888,0.391,0.294
0.874,0.874,0.386,0.323
0.868,0.868,0.361,0.337
0.82,0.82,0.328,0.337
0.785,0.785,0.286,0.315
0.792,0.792,0.302,0.281
0.819,0.819,0.352,0.295
0.862,0.862,0.439,0.386
0.838,0.838,0.544,0.416
0.84,0.84,0.561,0.4
0.857,0.857,0.542,0.383
0.868,0.868,0.51,0.355
0.893,0.893,0.517,0.326
0.906,0.906,0.529,0.329
0.897,0.897,0.547,0.355
0.938,0.938,0.615,0.384
0.948,0.948,0.644,0.403
0.933,0.933,0.582,0.433
0.935,0.935,0.599,0.457
0.958,0.958,0.622,0.479
0.961,0.961,0.636,0.501
0.947,0.947,0.638,0.488
0.94,0.94,0.64,0.513
0.937,0.937,0.621,0.55
0.961,0.961,0.578,0.537
0.966,0.966,0.55,0.46
